"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
77,1,398,"incongruent","most_incon",2,-0.746940470380811,-2.51256281407035,6,-1.24032843801404,0.28,-3.57142857142857,"incongruent_most_incon"
77,1,380,"congruent","most_incon",2,-0.725290021963976,-2.63157894736842,7,-1.15478854573721,0.398,-2.51256281407035,"congruent"
77,1,402,"incongruent","most_incon",2,-0.703639573547141,-2.48756218905473,8,-1.06924865346038,0.38,-2.63157894736842,"incongruent_most_incon"
77,0,296,"congruent","most_incon",2,-0.681989125130306,-3.37837837837838,9,-0.983708761183547,0.402,-2.48756218905473,"congruent"
77,1,325,"congruent","most_incon",2,-0.660338676713471,-3.07692307692308,10,-0.898168868906717,0.296,-3.37837837837838,"congruent"
77,1,419,"incongruent","most_incon",2,-0.638688228296636,-2.38663484486873,11,-0.812628976629887,0.325,-3.07692307692308,"incongruent_most_incon"
77,1,378,"incongruent","most_incon",2,-0.617037779879801,-2.64550264550265,12,-0.727089084353056,0.419,-2.38663484486873,"incongruent_most_incon"
77,1,376,"incongruent","most_incon",2,-0.595387331462966,-2.65957446808511,13,-0.641549192076226,0.378,-2.64550264550265,"incongruent_most_incon"
77,1,381,"congruent","most_incon",2,-0.57373688304613,-2.6246719160105,14,-0.556009299799396,0.376,-2.65957446808511,"congruent"
77,1,363,"incongruent","most_incon",2,-0.552086434629295,-2.75482093663912,15,-0.470469407522566,0.381,-2.6246719160105,"incongruent_most_incon"
77,1,321,"incongruent","most_incon",2,-0.53043598621246,-3.11526479750779,16,-0.384929515245736,0.363,-2.75482093663912,"incongruent_most_incon"
77,1,287,"incongruent","most_incon",2,-0.508785537795625,-3.48432055749129,17,-0.299389622968906,0.321,-3.11526479750779,"incongruent_most_incon"
77,1,404,"incongruent","most_incon",2,-0.48713508937879,-2.47524752475248,18,-0.213849730692075,0.287,-3.48432055749129,"incongruent_most_incon"
77,1,331,"incongruent","most_incon",2,-0.465484640961955,-3.02114803625378,19,-0.128309838415245,0.404,-2.47524752475248,"incongruent_most_incon"
77,1,369,"incongruent","most_incon",2,-0.44383419254512,-2.710027100271,20,-0.0427699461384151,0.331,-3.02114803625378,"incongruent_most_incon"
77,0,335,"incongruent","most_incon",2,-0.422183744128285,-2.98507462686567,21,0.0427699461384151,0.369,-2.710027100271,"incongruent_most_incon"
77,1,308,"congruent","most_incon",2,-0.40053329571145,-3.24675324675325,22,0.128309838415245,0.335,-2.98507462686567,"congruent"
77,1,306,"incongruent","most_incon",2,-0.378882847294614,-3.26797385620915,23,0.213849730692075,0.308,-3.24675324675325,"incongruent_most_incon"
77,1,296,"congruent","most_incon",2,-0.357232398877779,-3.37837837837838,24,0.299389622968906,0.306,-3.26797385620915,"congruent"
77,1,343,"incongruent","most_incon",2,-0.335581950460944,-2.91545189504373,25,0.384929515245736,0.296,-3.37837837837838,"incongruent_most_incon"
77,0,284,"incongruent","most_incon",2,-0.313931502044109,-3.52112676056338,26,0.470469407522566,0.343,-2.91545189504373,"incongruent_most_incon"
77,1,322,"incongruent","most_incon",2,-0.292281053627274,-3.1055900621118,27,0.556009299799396,0.284,-3.52112676056338,"incongruent_most_incon"
77,1,488,"congruent","most_incon",2,-0.270630605210439,-2.04918032786885,28,0.641549192076226,0.322,-3.1055900621118,"congruent"
77,1,366,"congruent","most_incon",2,-0.248980156793604,-2.73224043715847,29,0.727089084353056,0.488,-2.04918032786885,"congruent"
77,1,379,"incongruent","most_incon",2,-0.227329708376769,-2.63852242744063,30,0.812628976629887,0.366,-2.73224043715847,"incongruent_most_incon"
77,1,402,"congruent","most_incon",2,-0.205679259959934,-2.48756218905473,31,0.898168868906717,0.379,-2.63852242744063,"congruent"
77,1,400,"incongruent","most_incon",2,-0.184028811543098,-2.5,32,0.983708761183547,0.402,-2.48756218905473,"incongruent_most_incon"
77,1,350,"incongruent","most_incon",2,-0.162378363126263,-2.85714285714286,33,1.06924865346038,0.4,-2.5,"incongruent_most_incon"
77,1,275,"incongruent","most_incon",2,-0.140727914709428,-3.63636363636364,34,1.15478854573721,0.35,-2.85714285714286,"incongruent_most_incon"
77,1,345,"incongruent","most_incon",2,-0.119077466292593,-2.89855072463768,35,1.24032843801404,0.275,-3.63636363636364,"incongruent_most_incon"
77,1,295,"incongruent","most_incon",2,-0.097427017875758,-3.38983050847458,36,1.32586833029087,0.345,-2.89855072463768,"incongruent_most_incon"
77,1,365,"incongruent","most_incon",2,-0.0757765694589229,-2.73972602739726,37,1.4114082225677,0.295,-3.38983050847458,"incongruent_most_incon"
77,1,275,"incongruent","most_incon",2,-0.0541261210420878,-3.63636363636364,38,1.49694811484453,0.365,-2.73972602739726,"incongruent_most_incon"
77,1,417,"incongruent","most_incon",2,-0.0324756726252527,-2.39808153477218,39,1.58248800712136,0.275,-3.63636363636364,"incongruent_most_incon"
77,1,375,"incongruent","most_incon",2,-0.0108252242084176,-2.66666666666667,40,1.66802789939819,0.417,-2.39808153477218,"incongruent_most_incon"
77,1,441,"incongruent","most_incon",3,0.0108252242084176,-2.26757369614512,1,-1.66802789939819,NA,NA,"incongruent_most_incon"
77,1,343,"incongruent","most_incon",3,0.0324756726252527,-2.91545189504373,2,-1.58248800712136,0.441,-2.26757369614512,"incongruent_most_incon"
77,1,341,"congruent","most_incon",3,0.0541261210420878,-2.93255131964809,3,-1.49694811484453,0.343,-2.91545189504373,"congruent"
77,0,323,"incongruent","most_incon",3,0.0757765694589229,-3.09597523219814,4,-1.4114082225677,0.341,-2.93255131964809,"incongruent_most_incon"
77,1,408,"incongruent","most_incon",3,0.097427017875758,-2.45098039215686,5,-1.32586833029087,0.323,-3.09597523219814,"incongruent_most_incon"
77,1,263,"congruent","most_incon",3,0.119077466292593,-3.80228136882129,6,-1.24032843801404,0.408,-2.45098039215686,"congruent"
77,0,285,"incongruent","most_incon",3,0.140727914709428,-3.50877192982456,7,-1.15478854573721,0.263,-3.80228136882129,"incongruent_most_incon"
77,1,347,"incongruent","most_incon",3,0.162378363126263,-2.88184438040346,8,-1.06924865346038,0.285,-3.50877192982456,"incongruent_most_incon"
77,1,368,"congruent","most_incon",3,0.184028811543098,-2.71739130434783,9,-0.983708761183547,0.347,-2.88184438040346,"congruent"
77,1,326,"incongruent","most_incon",3,0.205679259959934,-3.06748466257669,10,-0.898168868906717,0.368,-2.71739130434783,"incongruent_most_incon"
77,1,316,"incongruent","most_incon",3,0.227329708376769,-3.16455696202532,11,-0.812628976629887,0.326,-3.06748466257669,"incongruent_most_incon"
77,1,426,"incongruent","most_incon",3,0.248980156793604,-2.34741784037559,12,-0.727089084353056,0.316,-3.16455696202532,"incongruent_most_incon"
77,1,368,"incongruent","most_incon",3,0.270630605210439,-2.71739130434783,13,-0.641549192076226,0.426,-2.34741784037559,"incongruent_most_incon"
77,1,310,"incongruent","most_incon",3,0.292281053627274,-3.2258064516129,14,-0.556009299799396,0.368,-2.71739130434783,"incongruent_most_incon"
77,0,332,"incongruent","most_incon",3,0.313931502044109,-3.01204819277108,15,-0.470469407522566,0.31,-3.2258064516129,"incongruent_most_incon"
