"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
16,1,302,"incongruent","most_incon",2,-0.162378363126263,73,-3.3112582781457,33,1.06924865346038,0.449,-2.2271714922049,"incongruent_most_incon"
16,1,252,"incongruent","most_incon",2,-0.140727914709428,74,-3.96825396825397,34,1.15478854573721,0.302,-3.3112582781457,"incongruent_most_incon"
16,1,393,"incongruent","most_incon",2,-0.119077466292593,75,-2.54452926208651,35,1.24032843801404,0.252,-3.96825396825397,"incongruent_most_incon"
16,1,343,"congruent","most_incon",2,-0.097427017875758,76,-2.91545189504373,36,1.32586833029087,0.393,-2.54452926208651,"congruent"
16,1,373,"congruent","most_incon",2,-0.0757765694589229,77,-2.68096514745308,37,1.4114082225677,0.343,-2.91545189504373,"congruent"
16,1,347,"incongruent","most_incon",2,-0.0541261210420878,78,-2.88184438040346,38,1.49694811484453,0.373,-2.68096514745308,"incongruent_most_incon"
16,1,361,"incongruent","most_incon",2,-0.0324756726252527,79,-2.77008310249307,39,1.58248800712136,0.347,-2.88184438040346,"incongruent_most_incon"
16,1,269,"incongruent","most_incon",2,-0.0108252242084176,80,-3.71747211895911,40,1.66802789939819,0.361,-2.77008310249307,"incongruent_most_incon"
16,1,510,"incongruent","most_incon",3,0.0108252242084176,81,-1.96078431372549,1,-1.66802789939819,NA,NA,"incongruent_most_incon"
16,1,252,"congruent","most_incon",3,0.0324756726252527,82,-3.96825396825397,2,-1.58248800712136,0.51,-1.96078431372549,"congruent"
16,1,410,"incongruent","most_incon",3,0.0541261210420878,83,-2.4390243902439,3,-1.49694811484453,0.252,-3.96825396825397,"incongruent_most_incon"
16,1,336,"incongruent","most_incon",3,0.0757765694589229,84,-2.97619047619048,4,-1.4114082225677,0.41,-2.4390243902439,"incongruent_most_incon"
16,1,589,"congruent","most_incon",3,0.097427017875758,85,-1.69779286926995,5,-1.32586833029087,0.336,-2.97619047619048,"congruent"
16,0,307,"incongruent","most_incon",3,0.119077466292593,86,-3.25732899022801,6,-1.24032843801404,0.589,-1.69779286926995,"incongruent_most_incon"
16,1,313,"congruent","most_incon",3,0.140727914709428,87,-3.19488817891374,7,-1.15478854573721,0.307,-3.25732899022801,"congruent"
16,1,335,"incongruent","most_incon",3,0.162378363126263,88,-2.98507462686567,8,-1.06924865346038,0.313,-3.19488817891374,"incongruent_most_incon"
16,1,316,"incongruent","most_incon",3,0.184028811543098,89,-3.16455696202532,9,-0.983708761183547,0.335,-2.98507462686567,"incongruent_most_incon"
16,1,370,"incongruent","most_incon",3,0.205679259959934,90,-2.7027027027027,10,-0.898168868906717,0.316,-3.16455696202532,"incongruent_most_incon"
16,1,287,"congruent","most_incon",3,0.227329708376769,91,-3.48432055749129,11,-0.812628976629887,0.37,-2.7027027027027,"congruent"
16,1,373,"incongruent","most_incon",3,0.248980156793604,92,-2.68096514745308,12,-0.727089084353056,0.287,-3.48432055749129,"incongruent_most_incon"
16,1,435,"incongruent","most_incon",3,0.270630605210439,93,-2.29885057471264,13,-0.641549192076226,0.373,-2.68096514745308,"incongruent_most_incon"
16,NA,NA,"incongruent","most_incon",3,0.292281053627274,94,NA,14,-0.556009299799396,0.435,-2.29885057471264,"incongruent_most_incon"
16,1,335,"incongruent","most_incon",3,0.313931502044109,95,-2.98507462686567,15,-0.470469407522566,0.233,-4.29184549356223,"incongruent_most_incon"
16,1,395,"incongruent","most_incon",3,0.335581950460944,96,-2.53164556962025,16,-0.384929515245736,0.335,-2.98507462686567,"incongruent_most_incon"
16,1,353,"congruent","most_incon",3,0.357232398877779,97,-2.8328611898017,17,-0.299389622968906,0.395,-2.53164556962025,"congruent"
16,1,295,"incongruent","most_incon",3,0.378882847294614,98,-3.38983050847458,18,-0.213849730692075,0.353,-2.8328611898017,"incongruent_most_incon"
16,1,301,"incongruent","most_incon",3,0.40053329571145,99,-3.32225913621262,19,-0.128309838415245,0.295,-3.38983050847458,"incongruent_most_incon"
16,1,275,"incongruent","most_incon",3,0.422183744128285,100,-3.63636363636364,20,-0.0427699461384151,0.301,-3.32225913621262,"incongruent_most_incon"
16,1,352,"incongruent","most_incon",3,0.44383419254512,101,-2.84090909090909,21,0.0427699461384151,0.275,-3.63636363636364,"incongruent_most_incon"
16,NA,NA,"incongruent","most_incon",3,0.465484640961955,102,NA,22,0.128309838415245,0.352,-2.84090909090909,"incongruent_most_incon"
16,1,411,"incongruent","most_incon",3,0.48713508937879,103,-2.4330900243309,23,0.213849730692075,0.246,-4.0650406504065,"incongruent_most_incon"
16,1,265,"congruent","most_incon",3,0.508785537795625,104,-3.77358490566038,24,0.299389622968906,0.411,-2.4330900243309,"congruent"
16,1,399,"incongruent","most_incon",3,0.53043598621246,105,-2.5062656641604,25,0.384929515245736,0.265,-3.77358490566038,"incongruent_most_incon"
