"subj_idx","response","rt","cond","stim","stim_cond","trial_z","trial","rt_log_trim_grp","prev_rt","block_trial"
84,1,0.535,"FiveGo","Go","Go_FiveGo",0.873233618838053,181,2.72835378202123,0.316,55
84,1,0.291,"FiveGo","Go","Go_FiveGo",0.887667232372566,182,2.46389298898591,0.535,56
84,1,0.366,"FiveGo","Go","Go_FiveGo",0.902100845907079,183,2.56348108539441,0.291,57
84,1,0.282,"FiveGo","Go","Go_FiveGo",0.916534459441593,184,2.45024910831936,0.366,58
84,1,0.357,"FiveGo","Go","Go_FiveGo",0.930968072976106,185,2.55266821611219,0.282,59
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",0.945401686510619,186,0,0.357,60
84,1,0.419,"ThreeGo","Go","Go_ThreeGo",0.959835300045133,187,2.6222140229663,0,37
84,1,0.383,"ThreeGo","Go","Go_ThreeGo",0.974268913579646,188,2.58319877396862,0.419,38
84,1,0.331,"ThreeGo","Go","Go_ThreeGo",0.988702527114159,189,2.51982799377572,0.383,39
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",1.00313614064867,190,0,0.331,40
84,1,0.37,"SevenGo","Go","Go_SevenGo",1.01756975418319,191,2.56820172406699,0,73
84,1,0.269,"SevenGo","Go","Go_SevenGo",1.0320033677177,192,2.42975228000241,0.37,74
84,1,0.32,"SevenGo","Go","Go_SevenGo",1.04643698125221,193,2.50514997831991,0.269,75
84,1,0.388,"SevenGo","Go","Go_SevenGo",1.06087059478673,194,2.58883172559421,0.32,76
84,1,0.336,"SevenGo","Go","Go_SevenGo",1.07530420832124,195,2.52633927738984,0.388,77
84,1,0.322,"SevenGo","Go","Go_SevenGo",1.08973782185575,196,2.50785587169583,0.336,78
84,1,0.366,"SevenGo","Go","Go_SevenGo",1.10417143539027,197,2.56348108539441,0.322,79
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",1.11860504892478,198,0,0.366,80
84,1,0.397,"OneGo","Go","Go_OneGo",1.13303866245929,199,2.59879050676312,0,19
84,1,0,"OneGo","NoGo","NoGo_OneGo",1.1474722759938,200,0,0.397,20
84,1,0.316,"ThreeGo","Go","Go_ThreeGo",1.16190588952832,201,2.4996870826184,0,41
84,1,0.599,"ThreeGo","Go","Go_ThreeGo",1.17633950306283,202,2.77742682238931,0.316,42
84,1,0.419,"ThreeGo","Go","Go_ThreeGo",1.19077311659734,203,2.6222140229663,0.599,43
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",1.20520673013186,204,0,0.419,44
84,1,0.329,"FiveGo","Go","Go_FiveGo",1.21964034366637,205,2.51719589794997,0,61
84,1,0.309,"FiveGo","Go","Go_FiveGo",1.23407395720088,206,2.48995847942483,0.329,62
84,1,0.313,"FiveGo","Go","Go_FiveGo",1.2485075707354,207,2.49554433754645,0.309,63
84,1,0.316,"FiveGo","Go","Go_FiveGo",1.26294118426991,208,2.4996870826184,0.313,64
84,1,0.279,"FiveGo","Go","Go_FiveGo",1.27737479780442,209,2.4456042032736,0.316,65
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",1.29180841133894,210,0,0.279,66
84,1,0.486,"OneGo","Go","Go_OneGo",1.30624202487345,211,2.68663626926229,0,21
84,1,0,"OneGo","NoGo","NoGo_OneGo",1.32067563840796,212,0,0.486,22
84,1,0.317,"SevenGo","Go","Go_SevenGo",1.33510925194248,213,2.50105926221775,0,81
84,1,0.32,"SevenGo","Go","Go_SevenGo",1.34954286547699,214,2.50514997831991,0.317,82
84,1,0.34,"SevenGo","Go","Go_SevenGo",1.3639764790115,215,2.53147891704225,0.32,83
84,1,0.288,"SevenGo","Go","Go_SevenGo",1.37841009254602,216,2.45939248775923,0.34,84
84,1,0.314,"SevenGo","Go","Go_SevenGo",1.39284370608053,217,2.49692964807321,0.288,85
84,1,0.35,"SevenGo","Go","Go_SevenGo",1.40727731961504,218,2.54406804435028,0.314,86
84,1,0.322,"SevenGo","Go","Go_SevenGo",1.42171093314956,219,2.50785587169583,0.35,87
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",1.43614454668407,220,0,0.322,88
84,1,0.433,"FiveGo","Go","Go_FiveGo",1.45057816021858,221,2.63648789635337,0,67
84,1,0.316,"FiveGo","Go","Go_FiveGo",1.4650117737531,222,2.4996870826184,0.433,68
84,1,0.335,"FiveGo","Go","Go_FiveGo",1.47944538728761,223,2.52504480703685,0.316,69
84,1,0.307,"FiveGo","Go","Go_FiveGo",1.49387900082212,224,2.48713837547719,0.335,70
84,1,0.319,"FiveGo","Go","Go_FiveGo",1.50831261435664,225,2.50379068305718,0.307,71
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",1.52274622789115,226,0,0.319,72
84,1,0.269,"ThreeGo","Go","Go_ThreeGo",1.53717984142566,227,2.42975228000241,0,45
84,1,0.313,"ThreeGo","Go","Go_ThreeGo",1.55161345496018,228,2.49554433754645,0.269,46
84,1,0.324,"ThreeGo","Go","Go_ThreeGo",1.56604706849469,229,2.51054501020661,0.313,47
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",1.5804806820292,230,0,0.324,48
84,1,0.299,"OneGo","Go","Go_OneGo",1.59491429556372,231,2.47567118832443,0,23
84,1,0,"OneGo","NoGo","NoGo_OneGo",1.60934790909823,232,0,0.299,24
84,1,0.306,"SevenGo","Go","Go_SevenGo",1.62378152263274,233,2.48572142648158,0,89
84,1,0.286,"SevenGo","Go","Go_SevenGo",1.63821513616726,234,2.45636603312904,0.306,90
84,1,0.352,"SevenGo","Go","Go_SevenGo",1.65264874970177,235,2.54654266347813,0.286,91
84,1,0.316,"SevenGo","Go","Go_SevenGo",1.66708236323628,236,2.4996870826184,0.352,92
84,1,0.304,"SevenGo","Go","Go_SevenGo",1.6815159767708,237,2.48287358360875,0.316,93
84,1,0.339,"SevenGo","Go","Go_SevenGo",1.69594959030531,238,2.53019969820308,0.304,94
84,1,0.326,"SevenGo","Go","Go_SevenGo",1.71038320383982,239,2.51321760006794,0.339,95
